# BEAST v1.8.2, r6687
# Generated Sat Oct 15 15:06:21 CEST 2016 [seed=1476536779168]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(untitled1)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
280000	-16294.143795215692	1265.1492020844084	-17559.2929973001	0.2791409139168357	0.2791409139168357	50.06816020498776	8.683940713128228	0.3677085710419707	0.14359391839852872	0.11715355335986907	0.3715439571996318	0.2594319515428526	1.0	-17559.2929973001	1498.9686736677247
290000	-16296.708871544326	1283.2042660817738	-17579.9131376261	0.22338035104083026	0.22338035104083026	54.37833833317769	8.894256572112917	0.37585330425339303	0.14346518215712045	0.12088203807788284	0.35979947551160396	0.25804399673493655	1.0	-17579.9131376261	1517.0628637835318
300000	-16292.428594264897	1267.9184622487924	-17560.34705651369	0.22673884569677533	0.2177014295157775	47.37323858060367	8.631219653246843	0.3758872680604455	0.14191310757559578	0.11457816465908058	0.3676214597048785	0.25804399673493655	1.0	-17560.34705651369	1501.724553515323
310000	-16313.634180895158	1256.6905521311382	-17570.324733026297	0.25456924845024226	0.25456924845024226	49.51725694654846	9.248463237651885	0.3817498638698921	0.14465329362601792	0.11604062675086253	0.35755621575322777	0.25804399673493655	1.0	-17570.324733026297	1490.6183164260176
320000	-16294.999110721163	1253.7176394669284	-17548.71675018809	0.29367771811348	0.29367771811348	48.22244122714576	9.377611690994796	0.38758037024385483	0.14203238453926662	0.10412705577687846	0.3662601894400004	0.25844127999885635	1.0	-17548.71675018809	1487.6709950514214
330000	-16291.297714933038	1228.476807676075	-17519.774522609114	0.2867944137806605	0.2614936415699803	46.768448275680015	9.212435807772765	0.38117325613633896	0.14457706435657453	0.10412705577687846	0.3701226237302084	0.2594610802825545	1.0	-17519.774522609114	1462.4004492171366
340000	-16286.567905124313	1250.6845125032628	-17537.252417627577	0.25031153734528155	0.24161752197725014	47.10499070140662	9.212435807772765	0.3726334154548621	0.13814143750650257	0.11327137106688848	0.3759537759717471	0.2610141332735563	1.0	-17537.252417627577	1484.6112601503064
350000	-16207.902204613596	1240.5004121521329	-17448.40261676573	0.25158602005794695	0.25158602005794695	45.38826451615109	9.478880445720833	0.36976283625284045	0.1450683890601781	0.11400267036215499	0.3711661043248268	0.26313090912232273	1.0	-17448.40261676573	1474.482437635898
360000	-16171.114630214055	1243.567896864067	-17414.682527078123	0.3031317526882735	0.3031317526882735	47.64318403339524	9.640985391609608	0.38454826930966124	0.13385739928941412	0.11584594035854075	0.3657483910423842	0.2423024392124096	1.0	-17414.682527078123	1477.5388700852525
370000	-16101.38381017774	1282.5326086751304	-17383.91641885287	0.29159012879314977	0.29159012879314977	50.15536704863495	9.190427920763044	0.3717311973666694	0.14288420453489686	0.11005822785111327	0.3753263702473208	0.2603694029314287	1.0	-17383.91641885287	1516.4538085430677
380000	-16071.079355487655	1292.9425663456054	-17364.02192183326	0.258577621648252	0.258577621648252	53.07732637380936	9.412742055089735	0.36682300741818963	0.13710745183024808	0.11590367801609136	0.3801658627354713	0.25919185024334046	1.0	-17364.02192183326	1526.9041301579675
390000	-15986.183527451014	1295.301580097714	-17281.485107548728	0.2983775743846009	0.2983775743846009	54.209628012628464	9.167349489845266	0.36783690612172126	0.1444936943963114	0.10939187682375942	0.3782775226582083	0.24769513357199946	1.0	-17281.485107548728	1529.1929589483836
400000	-15989.376068884982	1296.2716332285804	-17285.64770211356	0.238431237722386	0.238431237722386	54.490339757499434	8.678405107290159	0.3760031656444644	0.13831965058854953	0.11673826383392227	0.3689389199330642	0.25701073619800385	1.0	-17285.64770211356	1530.0851508565759
410000	-15982.080643661548	1288.1569839778253	-17270.237627639373	0.2380121204981919	0.2380121204981919	50.72809630557519	9.551537989080774	0.3848063396502492	0.13964161201390496	0.11520057032154646	0.36035147801429973	0.2636291148335058	1.0	-17270.237627639373	1522.1537647225432
420000	-16024.639968842394	1271.9951690483372	-17296.63513789073	0.26629806948805124	0.25465849529905166	50.78432582018651	8.641568115615904	0.38721644769676	0.14207647744557333	0.11254890264807717	0.3581581722095898	0.2540816476191479	1.0	-17296.63513789073	1505.7954203491568
430000	-15960.469490217103	1281.2517775379238	-17241.721267755027	0.2919804249820656	0.2919804249820656	51.34919318768505	9.675857613930402	0.40435513036350484	0.13602145743201033	0.10937372238195747	0.35024968982252763	0.24592345913240363	1.0	-17241.721267755027	1515.2365329951328
440000	-16012.114386615887	1269.3766146384169	-17281.491001254304	0.30154764698426845	0.30154764698426845	48.92276406950667	9.675857613930402	0.40282172749913403	0.13353745407805373	0.10637143287162659	0.3572693855511859	0.25566547383361465	1.0	-17281.491001254304	1503.3808541250285
450000	-15991.1414079815	1289.3885576494508	-17280.52996563095	0.2936958890917021	0.2936958890917021	47.85924332746624	9.44361059779696	0.40149011006798596	0.13486907150920183	0.10531276779230352	0.358328050630509	0.26346110377338433	1.0	-17280.52996563095	1523.364540108269
460000	-15967.209411795207	1281.985715757357	-17249.195127552564	0.25147479064066786	0.25147479064066786	54.23891892411069	9.510269204368896	0.39562376182008385	0.14319531394515142	0.11031177621969798	0.350869148015067	0.2540315379436564	1.0	-17249.195127552564	1515.9554947679198
