# BEAST v1.8.2, r6687
# Generated Thu Oct 13 01:05:53 CEST 2016 [seed=1476313552789]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(ingroup)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	speciation
10000	-4383.623680926005	-199.77530084472107	-4183.848380081285	0.6942508178157859	0.5296077894730212	12.372295983265202	3.2571250542762966	0.23407305068842327	0.26282037215119997	0.2434525237008516	0.2596540534595251	0.5	5.373800657216014	2.030769592045916	1.1672961493278313	2.069419943839308	-0.10624182451013725	-4183.848380081285	46.71646465202475
11000	-4291.6717739454925	-186.3237388051151	-4105.348035140378	0.5113192593959117	0.3850253602424932	12.88676162967963	3.8487251251268746	0.23420432260636054	0.2626891002332627	0.2434525237008516	0.2596540534595251	0.3985048682631477	4.823337097614703	1.797806336413808	1.6379897054109787	1.7174182801437778	-0.1616683586166042	-4105.348035140378	59.352762186593736
12000	-4256.685613836978	-186.2785888177865	-4070.4070250191908	0.48719179775074345	0.3837813745511009	15.306242504824578	3.8487251251268746	0.23420432260636054	0.2626891002332627	0.2434525237008516	0.2596540534595251	0.3985048682631477	3.8742339677157007	1.816468551514236	1.3374834035156178	1.5871953222084803	0.05390172187024337	-4070.4070250191908	59.234050759274254
13000	-4214.04617865611	-159.67755571683574	-4054.3686229392742	0.2689182052855602	0.18876553127682488	24.911566803000994	3.8487251251268746	0.23420432260636054	0.2626891002332627	0.2434525237008516	0.2596540534595251	0.3985048682631477	6.527604126072886	1.7766091312393155	2.5298963179455534	1.6899880559487157	0.10711648260277586	-4054.3686229392742	86.23932929340154
14000	-4182.669053061633	-140.5544921528557	-4042.114560908778	0.1487663197311114	0.11758040090749702	40.67858095253467	4.207456097475234	0.23420432260636054	0.2609213124873002	0.2434525237008516	0.26142184120548756	0.31314472278098315	9.578697608505864	1.7207483303538738	4.816961398399873	1.6394908697626187	0.0057409507489733615	-4042.114560908778	105.52175027284845
15000	-4178.26572621087	-133.3915958036434	-4044.874130407226	0.12350753416374757	0.09680615598354285	43.021174302934334	3.816234014656454	0.23420432260636054	0.2609213124873002	0.2434525237008516	0.26142184120548756	0.31329827565330054	10.801278472554891	1.7712213380501611	5.401966721783396	1.5495468085074178	-0.03877312037948738	-4044.874130407226	112.8357655479441
16000	-4214.341348906618	-172.56787907100463	-4041.773469835613	0.3264510688737267	0.28605557889656574	16.698413799949677	3.816234014656454	0.23420432260636054	0.2609213124873002	0.2434525237008516	0.26142184120548756	0.31329827565330054	3.8550016961586664	1.72173015322009	1.7461939219751663	1.5973150123261757	-0.08811507610825624	-4041.773469835613	72.47479968516541
17000	-4201.101594598101	-166.22378218407061	-4034.87781241403	0.2718013910630042	0.2260878905663513	20.305933232942138	4.595174627898216	0.23420432260636054	0.2609213124873002	0.2434525237008516	0.26142184120548756	0.31329827565330054	4.0996687549220745	1.8046853928390394	2.0618942660213797	1.6142010357989214	0.11770242377318037	-4034.87781241403	79.36659307264419
18000	-4222.803820941146	-183.16045553177398	-4039.6433654093726	0.40072397036180396	0.2848004797171175	15.724323071044811	4.595174627898216	0.23904877250587755	0.2609213124873002	0.2434525237008516	0.2565773913059705	0.26331676368010143	2.811311255977197	1.8871364688110572	1.282015652426999	1.6046870133937046	0.053027489252553725	-4039.6433654093726	62.19914366125411
19000	-4198.509830915531	-168.4940576053032	-4030.015773310228	0.26798588930003686	0.2010156196398885	15.977667977501785	4.595174627898216	0.23904877250587755	0.2609213124873002	0.2434525237008516	0.2565773913059705	0.26331676368010143	2.9173225368595443	1.6141744904772435	2.002771589619957	1.4522894595874307	-0.11763596099547882	-4030.015773310228	76.08373989132292
