# BEAST v1.8.2, r6687
# Generated Thu Oct 13 01:06:26 CEST 2016 [seed=1476313585669]
state	posterior	prior	likelihood	treeModel.rootHeight	tmrca(ingroup)	yule.birthRate	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	clock.rate	treeLikelihood	speciation
27000	-4170.337827117977	-182.88573620210943	-3987.4520909158678	0.45640966407749073	0.4560398787180897	8.1036671741367	5.09392733136235	0.2782060207562588	0.2602902347872885	0.19674124098295115	0.2647625034735016	0.2730287092557942	1.0	-3987.4520909158678	50.12203715011851
28000	-4161.457932196701	-189.78231994401162	-3971.67561225269	0.5575062252887749	0.5544037283054668	9.987611203106537	5.236967262752304	0.2782060207562588	0.2602902347872885	0.18820614867215188	0.2732975957843009	0.29535493233041504	1.0	-3971.67561225269	43.30917614747813
29000	-4152.674763126947	-185.60696921624464	-3967.067793910702	0.5286306288667889	0.5249809029072591	8.18130050718388	4.789272997113611	0.2821479393650983	0.259760769688481	0.18820614867215188	0.2698851422742689	0.2805785912511293	1.0	-3967.067793910702	47.330661913303295
30000	-4155.542770103825	-178.53869465747897	-3977.004075446346	0.4460427511931008	0.39777525070749226	10.813446301158642	3.780350058985119	0.28274549797452464	0.259760769688481	0.18760859006272557	0.2698851422742689	0.295159772790865	1.0	-3977.004075446346	54.12369498454862
31000	-4165.563807638075	-185.5886963925053	-3979.975111245569	0.5422542062744803	0.4281918606090172	10.24675198829874	3.780350058985119	0.28274549797452464	0.26489849634876406	0.18247086340244253	0.2698851422742689	0.3284667202676349	1.0	-3979.975111245569	47.14030714447579
32000	-4149.379500552569	-171.44593330418417	-3977.9335672483844	0.35844526310530495	0.3522514790697283	10.63061693782561	3.554474084144235	0.28274549797452464	0.26489849634876406	0.18247086340244253	0.2698851422742689	0.2518297333520213	1.0	-3977.9335672483844	61.05639669939909
33000	-4156.196578430876	-180.14619640949803	-3976.050382021378	0.49647688997758915	0.48592594405664	13.740351495154005	3.554474084144235	0.27749320340400696	0.26489849634876406	0.18247086340244253	0.2751374368447866	0.3126701795413158	1.0	-3976.050382021378	52.4778144864638
34000	-4153.825359242714	-176.1807713783339	-3977.6445878643794	0.45097299954675435	0.44305443942205147	9.761937408058744	3.796525503436132	0.27749320340400696	0.26489849634876406	0.18247086340244253	0.2751374368447866	0.3126701795413158	1.0	-3977.6445878643794	56.52181586280361
35000	-4162.539427010905	-182.0912821314346	-3980.44814487947	0.4625896175158171	0.4461477536005312	8.624322905515092	3.796525503436132	0.27749320340400696	0.26489849634876406	0.18247086340244253	0.2751374368447866	0.3126701795413158	1.0	-3980.44814487947	50.6113051097029
36000	-4152.635985382838	-182.67495078990288	-3969.961034592935	0.5252197998515827	0.516913306893331	9.392755015096798	3.796525503436132	0.27662812014452526	0.26489849634876406	0.18247086340244253	0.2760025201042683	0.26132793787096015	1.0	-3969.961034592935	49.924951967893904
